kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
11019570|4116.2|40.23|4.692|0.067|-0.381|0.037|0.117196981656|0.00245628144494|0.00240986696789
11020468|5444.17|52.94|4.425|0.087|0.469|0.051|1.40451574222|0.08750441497160001|0.08165587752119999
11020693|4490.08|32.49|4.619|0.054|-0.031|0.031|0.234087476128|0.00569491804029|0.00559591778506
11020980|5512.94|33.69|4.645|0.056|0.141|0.032|0.657291279676|0.026812900286|0.0258554263803
11021558|5430.88|30.1|4.603|0.05|0.158|0.028|0.598589362517|0.020286309026900002|0.0197006382416
11026373|4385.9|39.87|4.613|0.066|-0.284|0.038|0.193253414242|0.00370175858013|0.00362983597704
11026409|6191.77|16.99|4.227|0.025|0.04|0.014|3.4516230539499997|0.105772442986|0.102994185537
11026430|5872.25|33.51|4.12|0.055|0.008|0.032|7.143881491469999|0.310079746385|0.295524206818
11026612|5229.0|37.25|4.653|0.061|0.123|0.035|0.41523554116899997|0.008791028554120001|0.00860101615054
11026877|4512.09|55.66|4.602|0.092|-0.206|0.054|0.19556304657499998|0.00710433273181|0.0068812630285900005
11027590|5143.79|29.87|4.717|0.049|0.112|0.028|0.372683586146|0.009480210234729999|0.0092614303246
11028050|6262.95|16.78|4.153|0.027|0.301|0.014|3.635488327|0.117629944057|0.113983953762
11028207|5854.74|27.53|4.203|0.045|-0.024|0.026|6.10710260528|0.6359014519789999|0.560981315968
11028245|5771.56|35.32|4.538|0.058|0.067|0.033|1.04914190123|0.048510049941|0.0461343702994
11028278|5064.32|62.97|4.686|0.104|0.228|0.06|0.400103766221|0.009840679223090001|0.00961908968284
11028319|4946.02|38.7|4.596|0.064|0.116|0.037|0.695424086675|0.0259575730174|0.024939710342
11028964|4393.81|38.83|4.561|0.064|0.013|0.037|0.18680540803100001|0.0032737628596999995|0.00323661319991
11029523|5433.65|28.51|4.322|0.047|0.383|0.026|1.4588619256600002|0.034363411864400006|0.033508794067799996
11029751|6363.17|31.07|4.191|0.051|-0.105|0.029|5.138707565430001|0.212794058406|0.203459765034
11029810|6020.5|51.98|4.071|0.086|-0.102|0.05|8.62552606508|0.885812077721|0.779290377068
11029842|5303.9|97.82|4.567|0.161|-0.317|0.094|0.8110666058730001|0.028103615424200003|0.0269580621521
11031912|5178.52|46.33|4.761|0.076|0.217|0.044|0.449705945052|0.015629001936|0.0150077984575
